category,field_name,chinese_name,unit,available_period,definition,recommended_use,caution
identifier,year,年份,year,2010-2025,指标所属自然年度,索引和时间变量,不要当作普通连续解释变量
core,tourist_arrivals,年度游客接待量,10k_person_trips,2010-2025部分年份,蓟州区全年接待游客总人次,问题1趋势分析和问题2预测目标,一名游客多次到访会被重复计次；空值不是0
core,tourism_comprehensive_revenue,旅游综合收入,100m_cny,2010-2025部分年份,旅游活动带动的综合经济收入,问题1趋势分析和问题2预测目标,不同于旅游直接收入；空值不是0
core,gdp,地区生产总值,100m_cny,2010-2025,蓟州区按现价计算的地区生产总值,宏观经济解释变量,2019年前后存在统计口径断点；优先使用后续官方修订值
core,tertiary_industry_value_added,第三产业增加值,100m_cny,2010-2025,蓟州区第三产业当年新增价值,旅游经济关联变量,不是旅游业增加值；2019年前后存在口径断点
derived_flag,covid_dummy,疫情冲击虚拟变量,0_or_1,2010-2025,2020-2022取1其余年份取0,干预分析和分段预测,人为构造变量而非官方统计值
derived_flag,gdp_definition_break_2019,2019年后统计口径标记,0_or_1,2010-2025,2019年及以后取1此前取0,控制经济普查和核算口径变化,人为构造变量而非官方统计值
quality,core_missing_count,核心指标缺失数,count,2010-2025,该年度四项核心指标中缺失的数量,数据质量检查,不能作为经济解释变量
supply,boutique_homestays,精品民宿数量,households,2023-2024,官方口径下的精品民宿户数,问题3新业态情景分析,年份较少不建议直接进入长期回归
investment,fixed_asset_investment,固定资产投资,100m_cny,2012-2016,全社会固定资产投资额,投资驱动分析,不能与不含农户固定资产投资直接拼接
investment,fixed_asset_investment_non_agricultural,不含农户固定资产投资,100m_cny,2016-2017,不含农户的固定资产投资额,投资驱动分析,与全社会固定资产投资统计范围不同
investment,tertiary_industry_investment,第三产业投资,100m_cny,2016,投向第三产业的固定资产投资,政策和产业投入参考,仅一个年份不能独立回归
income,resident_disposable_income,居民人均可支配收入,cny_per_person,2016及2020-2024,全体常住居民人均可支配收入,消费能力解释变量,缺失年份较多
income,rural_disposable_income,农村居民人均可支配收入,cny_per_person,2012-2016,农村常住居民人均可支配收入,乡村旅游需求和受益分析,与全体居民收入不是同一口径
transport,road_mileage,公路通车里程,km,2016及2021-2024,蓟州区境内公路通车总里程,交通可达性解释变量,不同年份道路等级统计范围需核对
transport,road_passenger_volume,公路客运量,10k_person_trips,2016,全年公路运输旅客量,交通需求参考,不等于游客量且目前只有一年
accommodation,turnover_10k_cny,限额以上住宿餐饮业营业额,10k_cny,2014-2024,限额以上住宿和餐饮业单位营业额,旅游消费供给代理变量,仅覆盖限额以上单位
accommodation,room_revenue_10k_cny,限额以上客房收入,10k_cny,2014-2024,限额以上住宿餐饮单位客房收入,住宿需求代理变量,仅覆盖限额以上单位
accommodation,meal_revenue_10k_cny,限额以上餐费收入,10k_cny,2014-2024,限额以上住宿餐饮单位餐费收入,餐饮消费代理变量,仅覆盖限额以上单位
accommodation,goods_sales_10k_cny,限额以上商品销售额,10k_cny,2014-2024,住宿餐饮单位附带商品销售收入,辅助分析,2017年存在官方空值
accommodation,other_revenue_10k_cny,限额以上其他营业收入,10k_cny,2014-2024,营业额中除客房餐费和商品销售外的收入,辅助分析,仅覆盖限额以上单位
capacity,rooms,客房数量,rooms,2014-2024,限额以上住宿和餐饮业单位拥有的客房数,旅游接待能力代理变量,不包含全部民宿和农家院
capacity,beds,床位数量,beds,2014-2024,限额以上住宿和餐饮业单位拥有的床位数,旅游接待能力代理变量,不包含全部民宿和农家院
capacity,dining_seats,餐位数量,seats,2014-2024,限额以上住宿和餐饮业单位拥有的餐位数,餐饮接待能力代理变量,不等于实际接待人数
audit,indicator,指标代码,text,raw_ledgers,原始台账中的机器可读指标名,数据追溯与宽表生成,需结合unit和scope理解
audit,value,指标数值,various,raw_ledgers,指标对应的原始数值,数据追溯,必须结合unit读取
audit,unit,单位代码,text,raw_ledgers,数值的计量单位,防止单位混用,同一指标可能因来源存在万元和亿元换算
audit,scope,统计范围,text,core_ledger,全年或其他统计时间范围,口径核验,缺少scope时查看note和原文
audit,status,数据状态,text,raw_and_processed,官方实际值初步值修订值或缺失状态,质量控制和版本选择,状态含义见DATA_DICTIONARY.md
audit,source_title,来源标题,text,core_ledger,官方文件或网页名称,论文引用和审计,应与source_url一起保存
audit,source_url,官方来源链接,url,all_raw_tables,数值对应的官方网页或附件,论文引用和复核,访问日期需在论文中另行记录
audit,note,口径备注,text,raw_ledgers,换算修订冲突或范围说明,数据审计,不要在清洗时删除
scenario,record_type,情景记录类型,text,scenario_ledger,区分官方目标预计值和替代报道口径,问题3情景设定,不能当作历史实际值
